name,description
apple,Fresh red apple
banana,Yellow ripe banana
orange,Juicy orange fruit
grape,Seedless green grapes
mango,Sweet tropical mango
tire,Durable car tire
engine,High performance engine
brake pad,Essential brake pad for safety
steering wheel,Comfortable steering wheel cover
headlight,Bright LED headlight
shirt,Cotton casual shirt
jeans,Denim blue jeans
jacket,Waterproof winter jacket
sneakers,Comfortable running sneakers
hat,Stylish summer hat
watch,Classic wrist watch
sunglasses,Polarized sunglasses for UV protection
backpack,Durable travel backpack
notebook,Spiral notebook for school
pen,Blue ink ballpoint pen
desk lamp,Adjustable LED desk lamp
chair,Ergonomic office chair
table,Wooden dining table
sofa,Comfortable living room sofa
bed,Queen size bed frame
pillow,Soft memory foam pillow
blanket,Warm fleece blanket
curtain,Light blocking curtain
